user_id,package_id,ratings
308,1,4
287,1,5
148,1,4
280,1,4
66,1,3
5,1,4
109,1,4
181,1,3
95,1,5
268,1,3
189,1,5
145,1,3
158,1,4
67,1,3
232,1,4
150,1,4
289,1,3
117,1,4
49,1,2
223,1,4
56,1,4
17,1,4
340,1,5
177,1,3
194,1,4
250,1,4
213,1,2
350,1,4
348,1,4
131,1,4
106,1,4
234,1,3
43,1,5
20,1,3
246,1,4
94,1,4
279,1,3
38,1,5
128,1,4
96,1,5
203,1,3
157,1,5
311,1,4
125,1,4
286,1,4
83,1,4
301,1,4
345,1,3
18,1,5
322,1,2
64,1,4
45,1,5
247,1,4
204,1,2
271,1,3
41,1,4
274,1,4
222,1,4
15,1,1
23,1,5
141,1,3
359,1,4
374,1,4
380,1,4
10,1,4
320,1,3
160,1,4
396,1,4
339,1,5
199,1,1
422,1,3
81,1,4
42,1,5
357,1,5
26,1,3
327,1,4
200,1,5
44,1,4
256,1,5
174,1,3
97,1,4
243,1,4
101,1,3
490,1,3
242,1,4
312,1,5
325,1,2
456,1,2
347,1,4
360,1,3
450,1,4
84,1,2
198,1,4
494,1,3
525,1,4
2,1,4
62,1,2
343,1,5
298,1,5
459,1,4
407,1,4
471,1,4
535,1,3
500,1,4
512,1,4
275,1,4
252,1,5
230,1,5
249,1,4
93,1,5
514,1,5
193,1,4
484,1,5
54,1,4
75,1,4
338,1,3
13,1,3
472,1,5
541,1,4
209,1,5
144,1,4
417,1,4
454,1,3
313,1,4
202,1,3
579,1,4
447,1,3
137,1,3
508,1,5
1,1,5
569,1,4
416,1,5
291,1,5
401,1,2
479,1,5
567,1,3
561,1,2
390,1,5
162,1,4
332,1,4
363,1,2
455,1,4
394,1,4
120,1,4
297,1,3
540,1,3
231,1,3
560,1,4
379,1,4
59,1,2
99,1,4
254,1,3
533,1,4
441,1,5
292,1,4
262,1,3
483,1,4
16,1,5
592,1,4
526,1,5
307,1,5
344,1,3
649,1,5
299,1,3
324,1,5
545,1,5
517,1,3
82,1,4
658,1,4
460,1,2
622,1,3
429,1,3
73,1,2
326,1,3
330,1,5
532,1,5
470,1,3
620,1,5
263,1,5
184,1,4
577,1,5
248,1,3
699,1,3
534,1,5
505,1,3
425,1,2
691,1,5
406,1,4
432,1,2
657,1,3
305,1,5
487,1,5
77,1,5
235,1,4
151,1,5
642,1,5
708,1,5
244,1,4
735,1,4
523,1,5
749,1,4
705,1,5
636,1,3
276,1,5
635,1,4
478,1,4
381,1,5
92,1,4
467,1,4
716,1,5
763,1,4
465,1,4
613,1,4
588,1,4
676,1,5
643,1,5
562,1,2
178,1,4
677,1,4
253,1,5
697,1,5
614,1,5
798,1,4
777,1,4
637,1,4
371,1,4
290,1,5
770,1,5
618,1,4
684,1,4
89,1,5
706,1,4
6,1,4
63,1,3
674,1,4
648,1,5
65,1,3
497,1,4
731,1,2
378,1,4
655,1,2
395,1,5
835,1,3
768,1,5
402,1,5
435,1,5
134,1,5
817,1,4
761,1,1
634,1,3
807,1,4
554,1,3
790,1,3
503,1,5
486,1,4
632,1,3
804,1,5
650,1,3
831,1,4
654,1,4
493,1,3
365,1,4
710,1,4
612,1,4
610,1,4
468,1,5
296,1,5
723,1,3
168,1,5
130,1,5
488,1,3
621,1,3
868,1,4
678,1,5
663,1,4
424,1,1
597,1,3
669,1,5
885,1,5
756,1,4
788,1,3
79,1,4
727,1,3
879,1,4
897,1,5
796,1,2
887,1,5
746,1,4
602,1,4
771,1,5
580,1,3
794,1,4
759,1,5
411,1,4
872,1,3
821,1,5
624,1,4
388,1,5
744,1,4
25,1,5
438,1,4
883,1,3
921,1,3
216,1,4
138,1,4
295,1,4
789,1,3
886,1,4
303,1,5
336,1,3
893,1,5
550,1,3
792,1,4
823,1,4
773,1,3
896,1,4
864,1,5
715,1,5
913,1,2
458,1,4
742,1,4
830,1,4
733,1,2
518,1,4
293,1,2
463,1,1
630,1,4
929,1,3
714,1,3
679,1,3
924,1,5
210,1,5
660,1,3
698,1,4
764,1,4
805,1,4
665,1,4
58,1,5
251,1,4
549,1,5
751,1,3
785,1,4
609,1,1
903,1,3
703,1,4
72,1,4
826,1,4
314,1,5
916,1,4
933,1,3
387,1,4
108,1,4
389,1,4
553,1,3
182,1,4
919,1,4
403,1,4
661,1,5
815,1,5
854,1,3
331,1,1
890,1,4
124,1,3
882,1,5
779,1,4
542,1,4
852,1,4
605,1,4
399,1,4
294,1,5
870,1,5
277,1,4
690,1,4
537,1,2
838,1,5
412,1,4
653,1,4
847,1,3
201,1,3
606,1,5
881,1,4
769,1,4
664,1,4
918,1,3
576,1,4
680,1,4
536,1,5
889,1,3
57,1,5
393,1,3
521,1,2
745,1,2
726,1,4
867,1,4
70,1,4
419,1,4
922,1,5
894,1,4
599,1,4
910,1,4
829,1,4
738,1,5
901,1,5
795,1,4
843,1,3
102,1,3
757,1,4
930,1,3
899,1,3
730,1,4
121,1,4
548,1,4
936,1,4
457,1,4
793,1,4
767,1,5
806,1,4
934,1,2
822,1,4
689,1,3
935,1,3
839,1,4
495,1,4
582,1,4
892,1,5
701,1,4
721,1,5
880,1,4
927,1,5
434,1,4
865,1,1
552,1,3
923,1,3
692,1,4
917,1,3
21,1,5
902,1,5
748,1,4
938,1,4
932,1,4
941,1,5
907,1,5
265,1,5
709,1,4
445,1,3
398,1,5
682,1,4
895,1,4
747,1,5
786,1,4
800,1,4
593,1,3
5,2,3
268,2,2
276,2,4
217,2,3
87,2,4
250,2,4
201,2,2
64,2,3
13,2,3
95,2,2
213,2,4
373,2,4
293,2,3
193,2,3
363,2,4
256,2,5
200,2,4
207,2,3
393,2,4
222,2,3
399,2,3
301,2,2
379,2,3
387,2,4
92,2,3
450,2,4
303,2,3
178,2,4
83,2,4
407,2,4
327,2,2
1,2,3
325,2,1
455,2,4
30,2,3
320,2,4
405,2,1
466,2,1
536,2,4
346,2,5
197,2,3
72,2,3
110,2,3
600,2,3
622,2,4
551,2,2
618,2,2
495,2,2
497,2,1
429,2,3
280,2,3
398,2,3
660,2,2
653,2,1
378,2,2
130,2,4
749,2,4
374,2,4
22,2,2
425,2,2
487,2,3
757,2,3
705,2,3
472,2,5
709,2,4
416,2,4
561,2,3
292,2,4
305,2,2
521,2,3
249,2,3
727,2,4
796,2,5
774,2,1
773,2,3
271,2,1
566,2,5
627,2,3
751,2,4
543,2,3
642,2,4
899,2,3
484,2,4
830,2,3
846,2,5
864,2,4
806,2,3
682,2,3
385,2,3
655,2,3
870,2,2
648,2,4
435,2,4
916,2,3
738,2,3
715,2,3
506,2,4
880,2,3
934,2,4
621,2,3
279,2,4
746,2,3
686,2,3
643,2,3
640,2,4
790,2,3
804,2,4
42,2,5
532,2,5
892,2,4
924,2,3
102,2,2
764,2,3
844,2,4
632,2,4
671,2,4
943,2,5
267,2,3
826,2,3
650,2,3
896,2,3
795,2,3
234,2,2
442,2,3
868,2,2
815,2,3
798,2,4
49,2,1
807,2,4
886,2,4
889,2,3
181,3,2
81,3,4
160,3,3
130,3,5
49,3,3
320,3,4
157,3,3
145,3,3
95,3,1
99,3,3
267,3,4
417,3,4
62,3,3
246,3,2
221,3,4
463,3,2
456,3,4
293,3,2
393,3,3
406,3,3
59,3,4
459,3,2
486,3,2
303,3,3
43,3,2
472,3,5
500,3,4
537,3,2
497,3,4
523,3,4
244,3,5
429,3,2
569,3,1
82,3,2
301,3,2
453,3,4
104,3,3
487,3,5
343,3,4
269,3,3
432,3,3
551,3,5
582,3,3
435,3,3
342,3,2
682,3,3
534,3,4
346,3,3
747,3,2
548,3,1
276,3,3
806,3,2
268,3,1
291,3,3
756,3,1
450,3,4
336,3,1
606,3,5
751,3,3
886,3,3
795,3,2
63,3,2
561,3,3
595,3,4
854,3,1
660,3,1
654,3,3
714,3,5
280,3,2
923,3,4
586,3,5
207,3,2
663,3,4
286,3,2
1,3,4
624,3,3
621,3,5
216,3,4
793,3,4
936,3,4
889,3,4
580,3,5
592,3,4
622,3,1
916,3,3
859,3,5
917,3,1
699,3,3
910,3,2
880,3,1
99,4,5
19,4,4
194,4,4
207,4,4
62,4,4
295,4,4
201,4,4
10,4,4
308,4,5
328,4,3
109,4,2
334,4,3
77,4,3
346,4,4
222,4,3
160,4,4
291,4,4
279,4,4
130,4,2
264,4,4
385,4,2
352,4,3
378,4,3
276,4,4
216,4,5
342,4,4
256,4,5
280,4,3
320,4,3
221,4,3
412,4,3
218,4,3
312,4,3
435,4,4
389,4,4
379,4,5
64,4,3
87,4,5
13,4,5
398,4,2
387,4,3
115,4,4
457,4,4
18,4,3
407,4,4
327,4,4
16,4,5
468,4,5
268,4,4
336,4,4
234,4,4
373,4,4
406,4,2
514,4,4
287,4,4
487,4,4
394,4,4
533,4,3
339,4,4
210,4,4
144,4,4
472,4,3
535,4,3
455,4,3
559,4,4
83,4,2
92,4,4
421,4,3
297,4,1
621,4,4
481,4,3
450,4,3
654,4,4
393,4,4
271,4,5
249,4,4
608,4,3
343,4,5
577,4,4
411,4,4
219,4,4
666,4,5
543,4,4
345,4,4
592,4,4
504,4,4
12,4,5
527,4,2
618,4,2
650,4,3
648,4,1
640,4,4
429,4,4
537,4,2
344,4,4
593,4,4
627,4,2
712,4,4
286,4,5
709,4,3
198,4,3
7,4,5
318,4,2
94,4,4
757,4,5
645,4,4
189,4,5
795,4,4
671,4,5
532,4,5
796,4,5
476,4,4
682,4,3
293,4,4
758,4,4
716,4,2
771,4,1
301,4,4
562,4,1
197,4,3
747,4,4
326,4,1
860,4,4
363,4,5
629,4,3
774,4,2
659,4,3
232,4,4
151,4,5
495,4,3
456,4,3
886,4,3
22,4,5
538,4,3
1,4,3
453,4,4
880,4,4
653,4,3
600,4,4
804,4,4
299,4,3
875,4,3
561,4,3
497,4,3
554,4,2
854,4,2
84,4,3
405,4,4
49,4,2
690,4,3
374,4,2
417,4,3
625,4,4
919,4,1
524,4,4
707,4,3
940,4,2
916,4,4
43,4,4
883,4,4
315,4,4
881,4,3
889,4,3
303,4,4
846,4,5
474,4,5
764,4,3
102,4,2
715,4,4
933,4,3
749,4,4
347,4,4
466,4,3
805,4,2
484,4,4
790,4,3
823,4,5
934,4,5
622,4,4
253,4,4
896,4,3
903,4,4
416,4,4
763,4,5
738,4,4
664,4,4
786,4,4
871,4,3
788,4,3
638,4,4
642,4,3
748,4,4
591,4,4
780,4,3
425,4,4
158,4,4
643,4,4
833,4,3
579,4,2
551,4,2
851,4,5
913,4,4
59,4,4
826,4,4
882,4,4
655,4,2
233,4,3
864,4,4
870,4,2
293,5,3
43,5,4
311,5,3
109,5,3
344,5,3
145,5,3
314,5,4
308,5,4
280,5,4
44,5,4
269,5,2
388,5,4
218,5,3
332,5,5
363,5,1
276,5,3
102,5,3
437,5,2
291,5,5
234,5,3
435,5,2
270,5,5
375,5,4
447,5,3
188,5,4
207,5,3
339,5,3
374,5,4
92,5,4
255,5,2
405,5,4
130,5,4
593,5,4
256,5,5
504,5,4
13,5,1
21,5,2
406,5,4
551,5,4
378,5,3
604,5,2
562,5,4
72,5,4
648,5,4
666,5,2
1,5,3
417,5,4
393,5,3
372,5,4
741,5,3
303,5,2
399,5,3
671,5,2
633,5,3
